Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191  7680   4208830.016   2334850.460   4171267.386      7.246   2.282   0.156   2.438  12.677
2017 191  7710   4208830.017   2334850.462   4171267.386      7.308   2.282   0.156   2.439  12.680
2017 191  7740   4208830.020   2334850.470   4171267.386      7.189   2.282   0.156   2.439  12.682
2017 191  7770   4208830.020   2334850.475   4171267.385      6.944   2.282   0.156   2.439  12.682
2017 191  7800   4208830.020   2334850.475   4171267.385      6.765   2.282   0.157   2.439  12.682
2017 191  7830   4208830.020   2334850.481   4171267.384      6.736   2.282   0.156   2.439  12.682
2017 191  7860   4208830.020   2334850.486   4171267.384      6.918   2.282   0.156   2.439  12.683
2017 191  7890   4208830.021   2334850.484   4171267.384      7.383   2.282   0.156   2.439  12.687
2017 191  7920   4208830.021   2334850.486   4171267.384      7.597   2.282   0.156   2.439  12.691
2017 191  7950   4208830.020   2334850.490   4171267.383      7.799   2.282   0.157   2.439  12.697
2017 191  7980   4208830.021   2334850.491   4171267.383      7.153   2.282   0.157   2.439  12.704
2017 191  8010   4208830.021   2334850.493   4171267.383      7.060   2.282   0.157   2.439  12.709
2017 191  8040   4208830.021   2334850.496   4171267.382      7.082   2.282   0.157   2.439  12.710
2017 191  8070   4208830.021   2334850.499   4171267.382      7.018   2.282   0.157   2.439  12.712
2017 191  8100   4208830.022   2334850.500   4171267.382      7.684   2.282   0.157   2.439  12.713
2017 191  8130   4208830.022   2334850.498   4171267.382      7.242   2.282   0.157   2.440  12.712
2017 191  8160   4208830.019   2334850.498   4171267.382      7.155   2.282   0.157   2.440  12.709
2017 191  8190   4208830.019   2334850.499   4171267.382      7.288   2.282   0.158   2.440  12.708
2017 191  8220   4208830.018   2334850.498   4171267.381      6.830   2.282   0.158   2.440  12.707
2017 191  8250   4208830.017   2334850.497   4171267.381      6.904   2.282   0.158   2.440  12.706
2017 191  8280   4208830.019   2334850.497   4171267.381      6.961   2.282   0.158   2.440  12.706
2017 191  8310   4208830.021   2334850.496   4171267.381      6.923   2.282   0.158   2.440  12.707
2017 191  8340   4208830.022   2334850.496   4171267.381      7.313   2.282   0.158   2.440  12.708
2017 191  8370   4208830.021   2334850.495   4171267.381      7.112   2.282   0.158   2.440  12.709
2017 191  8400   4208830.022   2334850.494   4171267.381      7.263   2.282   0.158   2.440  12.711
2017 191  8430   4208830.024   2334850.494   4171267.381      7.166   2.282   0.158   2.440  12.712
2017 191  8460   4208830.025   2334850.494   4171267.380      7.496   2.282   0.158   2.440  12.713
2017 191  8490   4208830.026   2334850.495   4171267.380      7.914   2.282   0.158   2.440  12.714
2017 191  8520   4208830.026   2334850.494   4171267.380      7.475   2.282   0.158   2.440  12.712
2017 191  8550   4208830.025   2334850.494   4171267.381      7.391   2.282   0.158   2.441  12.712
2017 191  8580   4208830.027   2334850.497   4171267.381      7.561   2.282   0.159   2.441  12.717
2017 191  8610   4208830.029   2334850.493   4171267.382      7.305   2.282   0.159   2.441  12.720
2017 191  8640   4208830.030   2334850.487   4171267.383      6.979   2.282   0.159   2.442  12.722
2017 191  8670   4208830.030   2334850.482   4171267.383      6.903   2.282   0.159   2.442  12.722
2017 191  8700   4208830.032   2334850.482   4171267.383      6.753   2.282   0.160   2.442  12.739
2017 191  8730   4208830.034   2334850.485   4171267.383      6.907   2.282   0.160   2.442  12.744
2017 191  8760   4208830.035   2334850.482   4171267.382      6.898   2.282   0.160   2.442  12.747
2017 191  8790   4208830.036   2334850.480   4171267.382      6.665   2.282   0.160   2.442  12.748
2017 191  8820   4208830.036   2334850.477   4171267.383      6.945   2.282   0.160   2.443  12.750
2017 191  8850   4208830.036   2334850.472   4171267.383      6.526   2.282   0.160   2.443  12.751
